.comfax,MessageClick
"ClearSKY Networks, Inc.",Airimba Wireless Inc.
ClearView Technologies,SightPath
"Click Interactive, Inc.","Click Commerce, Inc. "
"Click Tactics, Inc.","ClickSquared, Inc. "
click2send.com,Middlewire
ClickAppraiser.com,AppraisalHub
"ClickArray Networks, Inc.","Array Networks, Inc. "
ClickService Software,"Clicksoftware Technologies, Ltd. "
"ClickToSecure, Inc.","Cenzic, Inc. "
"Client Server Technology, Inc.",Jacada
"Cliff Resources, Inc.",Mineral Resources Corporation
ClinEffect,"MDeverywhere, Inc. "
"Clinical MicroArrays, Inc.","Decision Biomarkers, Inc. "
"Clone Interactive, Inc.","Big Stage Entertainment, Inc. "
"Clovis Solutions, Inc.","OpenClovis, Inc. "
Clustrix Corporation,"NetFrame Systems, Inc. "
CMA International,"TriVirix International, Inc. "
"Cmetric, Inc.","Telseon, Inc. "
CNS Research Institute,CRI Worldwide
"Coastek Infosys, Inc.",Coastek Corporation
"Cobalt Microserver, Inc.",Cobalt Networks
CobaltCard.com,"Size Technologies, Inc. "
"Coceve, Inc. ",PBworks
"CODA Genomics, Inc.","Verdezyne, Inc. "
Codeon Corporation,Covega Corporation
Codesmith Technology Inc.,"Atherton Technology, Inc. "
"Coherent Networks, Inc.","Steleus Group, Inc. "
"COLED Technologies, Inc.","Dynamic Organic Light, Inc. "
"Collagenex, Inc.","CollaGenex Pharmaceuticals, Inc. "
Collection Management Network,Capital Recovery Network
CollectionsX.com,"E-Debt, Inc. "
College Entertainment Network,"Ruckus Network, Inc. "
"Collegiate Pacific, Inc.","Sport Supply Group, Inc. "
Colloquy Systems,Intraspect Software
"Colomotion, Inc.",Colo.com
"Colorado Microdisplay, Inc.",Zight Corporation
Colorado Mountain Vineyards,Colorado Cellars Winery
Comarc Systems,Roulac Real Estate Consulting Group
ComChem Technologies,"Semafore Pharmaceuticals, Inc. "
"Comdesign, Inc.","Network Equipment Technologies, Inc. "
"Comm-Press Technologies, Inc.","bTrade, Inc. "
"Commagine, Inc.",Adjungo Networks
"Commercial Data Servers, Inc.","Xbridge Systems, Inc. "
Commercial Mortgage,U.S. Commercial Mortage Corp.
"Commotion, Inc.","Aveso, Inc. "
Community News,"Community Media Enterprises, Inc. "
"Communiva, Inc.","Dimdim, Inc. "
"CoMoCo, Inc.","Cobotics, Inc. "
"Company 51, Inc.","Sana Security, Inc. "
"Compass A.I., Inc.","Compassoft, Inc. "
"Complementary HealthCare, Inc.",Consensus Health
Compound Therapeutics,"Adnexus Therapeutics, Inc. "
"Comprehensive Medical Management, Inc.","ONE, Inc. "
Comprehensive Urologic Services,"Vesicare, Inc. "
"Compufact, Inc.","CSC Compufact, Inc. "
Computer Aided Engineering,"CAE Systems, Inc. "
Computer Literacy,"Fatbrain.com, Inc. "
ComputerRepair.com,OnForce
Computerware,Omnium Corporation
Computool Corporation,"Camax Systems, Inc. "
"comScore Networks, Inc.","comScore, Inc. "
Concentration Specialists,"Concentrex, Inc. "
Conenhill Biomedics,Luminetx Corporation
"Confluence Networks, Inc.","Candera, Inc. "
Connect Innovations,Flyswat
"Connectify.com, Inc.","Connectify, Inc. "
Connectus Corporation,Aptix Corporation
Connenticut Assurance,"Manhattan Insurance Group, Inc "
"Connex Technology, Inc.","BrightScale, Inc. "
"Consensus Pharmaceuticals, Inc.",IWA LLC
"Consep,Inc.","Verdant Brands, Inc. "
Consumer Media Company,"Dotomi, Inc. "
Consumer Technology North,"TView, Inc. "
"Contemporary Constructors, Inc.","CCI Telecom, Inc. "
Context Inc.,Promptdoc (Ex Context Inc.
Continental Energy Resources,Group Nine Financial Corp
"Continental Recycling, Inc.","NexCycle, Inc. "
"Continuum Networks, Inc.","Intelliden, Inc. "
"Continuum, Inc.","Attain, Incorporated "
Convene Communications,"Latitude Communications, Inc. "
"Convergent Networks, Inc.",Asymptote Corporation
"Convergent Systems Solutions, Inc.","Cornice, Inc. "
"Convexant, Inc.","Winphoria Networks, Inc. "
Convoq Inc.,Zingdom Communications
"Conway-Stuart Medical, Inc.","Curon Medical, Inc. "
Coolboard.com,Centerwheel
"CoolSign Media, Inc.","AdSpace Networks, Inc. "
"Coolspotters, Inc.","Fanzter, Inc. "
"CooperaTech, Inc.",ROME Corporation
"COPD Partners, Inc.","Inspired Technologies, Inc."
Coprindm Corporation,"DecisionView Software, Inc. "
Coral Wireless LLC,"Mobi PCS, Inc. "
"Cordial Medical, Inc.","Hearten Medical, Inc. "
"Core Medical, Inc.","Ensure Medical, Inc. "
CoreVal Consulting,"Qorval Integrated Solutions, Inc."
Corex Technologies Corporation,"CardScan, Inc. "
"Corgentech, Inc.","Anesiva, Inc. "
"Cornell Corrections, Inc.","Cornell Companies, Inc. "
Cornerstone Retail Solutions,"360 Commerce, Inc. "
Corporate Child Care,"CorporateFamily Solutions, Inc. "
"Corporate Oxygen, Inc.","Confluent Software, Inc.  "
Corporate Wings,"Flight Options, Inc. "
"Corrections Associates, Inc.",Pricor Incorporated
"Cortec Systems, Pty. Ltd.",Xelor Software
"Cortrak Medical, Inc.",eMed Corporation
"Corvia Networks, Inc.","BrightLink Networks, Inc. "
Corvis Corporation,Broadwing Corporation
"Coryphaeus Software, Inc.","Centric Software, Inc.  "
"Cosmetic Therapeutics, Inc.","COMPLEXIONS Rx, Inc. "
"CotageSoft, Inc.",Business Signatures Corporation
"Coulter Cellular Therapeutics, Inc.","Eligix, Inc. "
Counsell Group,Breakaway Solutions
Counterpoint Software,"Springboard Software, Inc. "
"Country Line, Ltd./CPR Prompt","Complient, Inc. "
"Covalent Materials, Inc.","Nanomix, Inc. "
Coventina Healthcare,"ReGear Life Sciences, Inc. "
"CoWave Networks, Inc.","Arcwave, Inc. "
"CPBD, Inc.","Admetric Biochem, Inc. "
"CR Technology, Inc.","MegaSpector, Inc. "
"CreateHope, Inc.",Truist
Creative Products Int'l,First Transaction Management
"cRight, Inc.","SkyRider, Inc. "
Crisc Corporation,Stream Machine
Critical Care Anesthetist,Physicians Surgical Svcs
Critical Therapeutics,"Cornerstone Therapeutics, Inc. "
CrossRoads Software,"CrossWorlds Software, Inc."
CrossRoute Software,"Extricity Software, Inc. "
CrossZ Software Corp,QueryObject Systems Corporation
CrowdControl Interactive Corp.,"Virtual Premise, Inc. "
CrypTEC Systems,"nPoint, Inc. "
Crystal Diagnostic Systems,"Crystal Diagnostics, Inc. "
Crystal Semiconductor,Cyrix Corporation
"Crystallume, Inc.","Electronic Designs, Inc. "
"CS Fluids, Inc.","Eunoe, Inc. "
cSafe,Alchemedia Technologies
CTI Information Services,"Call Technologies, Inc."
CTK Windup Corporation,Strasbaugh
"Cue Biotech, Inc.","Caden Biosciences, Inc. "
"Culler Harrison, Inc.",Culler Scientific Systems Corp.
Cumbre Inc.,"Cumbre Pharmaceuticals, Inc. "
Curative Technologies,Curative Health Services
"Curse-Gaming.com, Inc.","Curse, Inc. "
Custom Terminals Inc.,CTI Data Corporation
Custom Tint Laboratories Inc.,"CTL, Inc. "
"Customerleads.net, Inc.","Adchemy, Inc. "
CyberASP,Bridium
"Cybermeals, Inc.","Food.com, Inc. "
Cyberstate University,"Logilent Learning Systems, Inc. "
"Cygnus Multimedia Group, Inc.","Aprisa Multimedia, Inc."
Cygnus Research Corp.,Cygnus Therapeutic Systems
"Cymer Laser Technologies, Inc.","Cymer, Inc. "
Cynaptec.com,"FuelSpot, Inc. "
Cytel Corporation,"Epimmune, Inc. "
"Cyternex, Inc.","Cylene Pharmaceuticals, Inc. "
"Cytocare, Inc.","Medstone International, Inc."
"CytoDiagnostics, Inc.","UroCor, Inc. "
"D-Star Technologies, Inc.","Sabeus Photonics, Inc. "
DailyShopper.com,DailyShopper Network
Dale Computer Corp.,ADAK Communications Corporation
Dali Media,Syndol
"Damon Biotech, Inc.","Abbott Biotech, Inc. "
"Dana Computer, Inc.",Ardent Computer Corp.
DanaStreet,Neoteris.com
Data Broadcasting Corp.,Interactive Data Corporation
Data Downlink Corporation,"Alacra, Inc. "
Data Everywhere Corporation,Cohera Corporation
Data Language Corp.,Progress Software Corporation
Data Sciences International,"Transoma Medical, Inc. "
Data Strategies Corporation,"Visual Interactions, Inc. "
DataBahn,"PointBase, Inc. "
DataCore Storage Corp.,DataCore Software Corporation
Dataflow Systems Corp.,Alliant Computer Systems Corp.
DataMind Corporation,"RightPoint Software, Inc. "
DataRover,Icras
"Dataside, Inc.",Dataside LLC
DataSoft Corp,"DocuMagix, Inc. "
"Datatrak, Inc.","WGI Holdings, Inc. "
"Dataware Technologies, Inc.","Leadingside, Inc. "
DataWorks Systems,"Incuity Software, Inc. "
David Pharmaceuticals,"Saegis Pharmaceuticals, Inc. "
"Davidson, MacKinnon & Company","Examen, Inc. "
Dawn Chemical,"Amrep, Inc. "
"DB Star, Inc.",Evoke Software Corporation
DBassociatesIT,Imceda
DBNEWCO,"Trellix, Inc. "
dbusiness.com,LocalBusiness.com
DCS Partners,"Distributed Control Systems, Inc. "
Deal Systems Corporation,Expressway Systems  L.P.
Deep Video Imaging Ltd.,"PureDepth, Inc. "
Deepfile Corporation,"StoredIQ, Inc. "
"Deer Valley Broadcasting, Inc.",Mill Creek Broadcasting
Deja Cube,"TeaLeaf Technology,  Inc. "
Del Mar Medical Technologies,"Innercool Therapies, Inc. "
Deliverex,3Path
Dell Computer Corporation,"Dell, Inc. "
"Della & James, Inc.",Della.com
"Delos Payment Systems, Inc.","CoreCard Software, Inc. "
Delta Systems,"Protronyx, Inc. "
"DeltaPoint, Inc.","Site Technologies, Inc. "
"DeMaria Electro-Optics Systems, Inc.",Coherent/DEOS
DepoTech Corporation,SkyePharma Inc.
"DermaCare, Inc.","Therative, Inc. "
"DeSantage, Inc.","DesignAdvance Systems, Inc. "
"Designer Foods, Inc.","TriFoods International, Inc. "
"Designware, Inc.","Britannica Software, Inc. "
Desktop Data,NewsEdge Corporation
deuxo,"LeadWorks, Inc. "
DFD Information Services,"InterScope Technologies, Inc. "
dForward,"ForwardVue Technologies, Inc. "
Diagnon Corporation,"BIOQUAL, Inc. "
Diametrics Medical,Allegro Biodiesel Corporation
Diamond Electro-tech,"Diamond Sensor Systems, Inc. "
DiamondBack Vision,"ObjectVideo, Inc. "
Digene Diagnostics Inc.,Digene Corporation
Digimarc Corporation,"L-1 Secure Credentialing, Inc. "
"digiMine, Inc.","Revenue Science, Inc. "
Digital Automation,Dac Technology
Digital Broadcast Network Corp.,Intira Corporation
"Digital Chef, Inc.","Tavolo, Inc. "
"Digital Emulsion, Inc.","BOXX Technologies, Inc. "
"Digital Evolution, Inc.","SOA Software, Inc. "
Digital Express Group,"DIGEX, Inc. "
"Digital Generation Sys., Inc.","DG FastChannel, Inc. "
"Digital Genomics, Inc.",Quanterix Corporation
Digital Intelligence,PictureIQ Corporation
"Digital Pathways, Inc.","AssureNet Pathways, Inc. "
"Digital Radio Laboratories, Inc.","Digital Planet, Inc "
"Digital Recorders, Inc.",DRI Corporation
Digital Sound Corporation,PulsePoint Communications
"Digital Theater Systems, Inc.","DTS, Inc. "
Digital Transactions,Ambi Corporation
"Digitran, Inc.","FaxSav, Inc. "
DIMAC Corporation,DIMAC Marketing Partners
"Dimatix, Inc.","FUJIFILM Dimatix, Inc."
"Diode Solutions, Inc.","CBRITE, Inc. "
"Direct Healthcare, Inc.","Lumenos, Inc. "
"Disappearing, Inc.",Omniva Policy Systems
Discovery Therapeutics,"Aderis Pharmaceuticals, Inc. "
DiscreteTime Comm.,"Staccato Communications, Inc. "
"DispenseSource, Inc.","Nexiant, Inc. "
Display Technology Associates,"Alphasil, Inc. "
Distrobot Systems,"Kiva Systems, Inc. "
Diversa Corporation,Verenium Corporation
Diversys Limited,"Domantis, Inc. "
"dj Orthopedics, Inc.","DJO, Inc. "
Djinnisys Corporation,"Plectix BioSystems, Inc. "
"DK Spine Technology, Inc.","Vertiflex, Inc. "
DMC Stratex Networks,"Stratex Networks, Inc. "
DMT,"Via Systems, Inc. "
"DNA Dynamics, Inc.","Genoptix, Inc. "
DNX Corporation,Chrysalis International Corporation
Doctors Online Medical Services,Aitria Technologies
"DoctorsDirect.com, Inc.","Xoova, Inc. "
Document Command,Earth Class Mail Corporation
DocumentDelivery.com,NowDocs
Domestic Automation Corp.,"CellNet Data Systems, Inc. "
"DoOnGo Technologies, Inc.","InnoPath Software, Inc. "
Doublebill.com,BigVine.com
"DoubleWide Software, Inc.","Accenia, Inc. "
Dove Brothers LLC,"DoveBid, Inc. "
"Dowden Publishing Company, Inc.",Dowden Health Media
"DSD Communications, Inc.",Velocity Media Group
"dT Biosciences, Inc.","Phase Bioscience, Inc. "
"Durazno, Inc.",Brand.net
"DVC Labs, Inc.","Skyfire Labs, Inc. "
"DVD Express, Inc",DVD.com
DVP Media,"Vellis Knowledge, Inc. "
DWN,"Sensicast Systems, Inc. "
"Dynabazaar, Inc.",Sielox Inc.
DynaCenter Corporation,"Pure Networks, Inc. "
Dynamic Brd,"Axcis Pocket Information Network, Inc. "
"Dynamic Trade, Inc.","Performics, Inc. "
e-Satisfy,"TARP, Ltd. "
E-Site Therapeutics,"EluSys Therapeutics, Inc. "
"E-solutions Software, Inc.",RedCelsius
E-Steel Corporation,"NewView Technologies, Inc. "
E-TranSolutions,"E-Tran, Inc. "
"E-tron Technologies, Inc.","InnerWireless, Inc. "
e-Vend.net,Stitch Networks Corporation
"E-Z-CAD, Inc.","Ponte Solutions, Inc. "
"e.Intelligence, Inc.","Eivia, Inc. "
E.spire Communications,Xspedius Management Company
Eagle Development Group,"Eagle Investment Systems, Inc. "
Eagle Software Publ.,Silver Eagle Software Publishing
Earth Broadcasting Corp.,TheDial.com
"Earthwatch, Inc.","DigitalGlobe, Inc. "
eAssist.com,eAssist Global Solutions
"eBioinformatics, Inc.",Entigen Corporation
eBiz.net,"Affinity Internet, Inc. "
EC Company,Advanced Data Exchange
EC Direct Corporation,Vitessa
"Ecad, Inc.","Cadence Design Systems, Inc. "
EcFood.com,"ecMarkets, Inc. "
"Echelle, Inc.",Silicon Light Machines
"Echelon, Inc.",Echelon Systems Corporation
"Echromics, Inc.","Soladigm, Inc. "
eCicero Corporation,Playback Media
"ecINDX, Inc.","ecHUB, Inc. "
Eclipse Corp.,Tidemark Corporation
"eClubBuy, Inc","Purchasing Assoc. of Private Clubs, The  "
"Eclyptic, Inc.","AlterPoint, Inc. "
ECOM Worldwide,Artios
"ecom2ecom, Inc.",Viquity Corporation
"eCommerical.com, Inc.","MindArrow Systems, Inc. "
"eCompany Network Systems, Inc.","Bizfinity, Inc. "
"EcomXML, Inc.",ProCaveo
Econometrics,"Jinzanghuang Tibet Pharmaceuticals, Inc. "
"eCredit.com, Inc.","Cortera, Inc. "
ECS Systems,"Con-Tex Elements, Inc. "
eCustomers.com,eCustomers
Edge Computer Corporation,"Edgcore Technology, Inc. "
"EdgeMail Technologies, Inc.","webBasis, Inc. "
Edgility Software,"AmberPoint, Inc. "
"Edgios, Inc.","Wowd, Inc. "
"Edison Carter, Inc.","3VR Security, Inc. "
"Edison Project, LP, The","Edison Schools, Inc. "
"Educational Medical, Inc.",Quest Education Corporation
"Eduprise.com, Inc.","CollegisEduprise, Inc. "
Edxchange.com,Epylon Corporation
"Efficient Market Services, Inc.","Percipient, Inc. "
Efidex,"Traiana, Inc. "
"eFrenzy, Inc.",NextDoor Networks
"EG Technology, Inc.","EGT, Inc. "
"EHealthcontracts.com, Inc.","Concuity, Inc. "
"eHealthDirect, Inc.","deNovis, Inc. "
"Ehoho.com, Inc.","Inforez, Inc. "
"Eight In One Pet Products, Inc","United Pet Group, Inc. "
"eInnovations, Inc.",Vinciv  Corporation
"Eisenworld, Inc.","Apptimum, Inc. "
"EJB Solutions, Inc.","OpenLogic, Inc. "
"Ejemoni, Inc.","H5 Technologies, Inc. "
"Elcatech, Inc.","Amplistar, Inc.  "
"ElderHealth, Inc.","Bravo Health, Inc. "
"Electric Communities, Inc.",Communities.com
"Electro Filtration Technologies, Inc.","StrionAir, Inc. "
Electronic Design Automation,"EDA Systems, Inc. "
Electronic Devices,Measuronics Corporation
"Elegiant, Inc.","Vincera Software, Inc "
"Elemental Software,Insite,MediaShare","NewChannel, Inc. "
Eliyon Technologies Corporation,"Zoom Information, Inc. "
"Elogex, Inc.","One Network Enterprises, Inc. "
elogo.com,"Peranet, Inc. "
eMarket Capital,Captive Capital Corporation
Embark.com,YJSRC
"Embion, Inc.","Encounter Care Solutions, Inc. "
Emdeon,HTLH Corp.
Emerald Finance Corporation,National IPF Company
Emerge Healthcare,"BENU, Inc. "
"eMerge Vision Systems, Inc.",eMerge Interactive
Emergency Information Systems,Essential Technologies
"Emergency Medical Systems, Inc.","Revivant, Inc. "
Emic Networks,Continuent
"eMikolo, Inc.",Seaside Software Corporation
"Emission Systems, Inc.","Arradiance, Inc. "
"Emode.com, Inc.","Tickle, Inc. "
eMoneta.com,NetFlip.com
"Emony, Ltd.","Red Bend Software, Inc.  "
Emoonlighter,Guru.com
eMotion,"Lucy Activewear, Inc. "
EmpireDRM,ClearKey
Employee Care Corporation,"Presidium Holdings, Inc. "
Employeesavings.com,Xylo Inc.
Empower Corporation,"MindLever.com, Inc. "
Emptor,Accept.com
Empyrean Group,"Iconixx, Inc. "
"Emwerks, Inc.","Kada Systems, Inc. "
Encentris Corporation,"OmniSpace Technologies, Inc."
Endgate Technology Corporation,EndWave Corporation
Endocardial Therapeutics,"Endocardial Solutions, Inc. "
"Endurant Systems, Inc.","Isilon Systems, Inc. "
Energy Auction Exchange,"Petroleum Place, Inc. "
"eNewsRelease.com, Inc.","eNR Services, Inc. "
Enfusion Systems,"Lightera Networks, Inc. "
Engineered Intelligence Corporation,"Gear6, Inc. "
Engineered Video Concept,Concentric Network Corp.
Enhance Media Inc.,"Umongo, Inc. "
Enhansys Inc.,"DB/Access, Inc. "
"eNOS Pharmaceuticals, Inc.",Palmetto Pharmaceuticals
"ENQ Semiconductor, Inc.",Kleer Corporation
"Ensemble Solutions, Inc.","OpenGrid, Inc. "
Ensight Technologies,"Quintessent Communications, Inc."
EnSys Environmental Products,"Strategic Diagnostics, Inc"
Entegra,Tegrasis Corporation
"Enter Television, Inc.","OnLive! Technologies, Inc. "
Entercom Inc.,Current Networks
Enterprise Support Svcs,Enterprise Systems Group
Enterspect,Opus360 Corporation
Entity Systems,Alibre Inc.
"Entrieva, Inc.","LucidMedia Networks, Inc. "
"Environmental Connections, Inc.","Blue292, Inc. "
Envision Technology,Envis Corporation
"Enviso, Inc.","Nexxo Financial Corp. "
Envtl. Science & Testing,"Recra Environmental, Inc. "
"Enzymatics, Inc.",Universal Display Corporation
"Eon Company, The","Frameworx Company, The  "
"eOnline, Inc.","BlueStar Solutions, Inc. "
Ephinay,"Core3, Inc. "
EPIC Technology,"Neoconix, Inc. "
"Epicardia, Inc.","EpiCor Medical, Inc. "
EPiiC Corporation,Reva Systems Corporation
"Epiphany Marketing Software, Inc.","E.Piphany, Inc. "
"Eport, Inc.","Xporta, Inc. "
"eProject, Inc.","Daptiv, Inc. "
Equalfooting.com,"Equidity, Inc. "
"EqualLogic, Inc.","Dell EqualLogic, Inc. "
"EquipNet Direct, Inc.","EquipNet, Inc. "
"eQview, Inc.",Blackfin Technologies
Ernst & Young Technologies,EYT
EROX Corporation,"Human Pheromone Sciences, Inc. "
"eRunway, Inc.",Virtusa Corporation
eScout LLC,"Perfect Commerce, Inc. "
Esin Tech Corp,"Skylight Healthcare Systems, Inc. "
"eSniff, Inc.",Vericept Corporation
"EsophyX, Inc.","EndoGastric Solutions, Inc. "
"eSpoke.com, Inc.",Andavo Corporation
eSprocket Corporation,Beachfire
"ESSENSE Systems, Inc.","ESS Software, Inc. "
Essential Therapeutics,"Trine Pharmaceuticals, Inc. "
eTail Profit,Silk Route Technology Inc.
"Ethanol West, Inc.","Cilion, Inc. "
"eTopware, Inc.","Fuego, Inc. "
"eTranslate, Inc.","Convey Software, Inc. "
EurekaGGN,Infohighway Communications Corporation
Evaluations Per Second,"Pendulum Design, Inc.  "
"EVDB, Inc.","Eventful, Inc. "
EventSource.com,"ProcurePoint Travel Solutions, Inc. "
Evergreen Medical Technology,"Protocol Systems, Inc. "
"Evergrid, Inc.","Librato, Inc. "
"Everychip, Inc.","Tabula, Inc. "
Everyphone.com,"Traq-wireless, Inc. "
"Evil Twin Studios, Inc.","Doppelganger, Inc. "
"eVin, Inc.","triVIN, Inc. "
"eVineyard, Inc.",Wine.com
"EVSX, Inc.","Intrinsity, Inc. "
Ex Machina,"AirMedia, Inc. "
Exabyte Corporation,"MidgardXXI, Inc. "
"Exact Laboratories, Inc.",EXACT Sciences Corporation
"Exhale Therapeutics, Inc.","CoTherix, Inc. "
"Exide Electronics Group, Inc.",Powerware Corporation
"Exigent Diagnostics, Inc.",Careside
"Exigent, Inc.","psiloQuest, Inc. "
"Exotec, Inc.","Vividon, Inc. "
Exp.com,"EXP Systems, Inc. "
"Express Action, Inc.","NewChannel, Inc. "
ExProDx,Allegro Diagnostics Corporation
"Extreme Devices, Inc.",XDI Innovations
"EYak, Inc.","Sonexis, Inc. "
eZiba.com,"eZiba, Inc. "
eZPricing.com,iFinance
EZTrip,"Gusto, LLC "
"Fabrik Communications, Inc.",ROI Direct.com
FacilityPro.com,"Prosero, Inc. "
"FactoryWare, Inc.","Informance International, Inc. "
"FairNetworks, Inc.","Open Ratings, Inc. "
"FAME Analytics, Inc.","Lipomics Technologies, Inc. "
Fantine Group, Friction Control Solutions
Fashion Management Systems,"F/X Systems, Inc. "
"Fast-Talk Communications, Inc.","Nexidia, Inc. "
Favemail,Expression Engines
"Favrille, Inc.","MMR Information Systems, Inc. "
"Fax2Net, Inc",ShareMedia
"FBC Systems, Inc.","aPriori Technologies, Inc. "
FCCB Co.,"Intersim, Inc. "
FCI Magnetics,"Domain Technology, Inc. "
FDCH,"Voxant, Inc. "
"Ferretec, Inc.","Fressi, Inc. "
Ferrocement Systems,"Pancon, Inc. "
"Festivities, Inc.","Streamers, Inc. "
"FHG Pharmaceuticals, Inc.","BrainCells, Inc. "
"FHP Wireless, Inc.","Tropos Networks, Inc. "
"FiberLead, Inc.","FLX Micro, Inc. "
Filex Corporation,FileNet Corporation
FinanceLinQ Solutions,Perceptant Corporation
FinancialPlanAuditors.com,"Financeware, Inc. "
Finch Technologies,"Blue Heron Biotechnology, Inc. "
Finestra Software,Invio Software
Finet Holdings Corporation,"FiNet.com, Inc. "
Finial Technology,"Carillon Technology, Inc. "
FireDrop,"Zaplet, Inc. "
"First Avenue Networks, Inc.",FiberTower Corporation
First Republic Bancorp Inc.,First Republic Bank
FirstWorld,"Verado Holdings, Inc. "
"FlatBurger, Inc.","Bright Hub, Inc. "
Fleet Management Services,"Grid Data, Inc. "
"Flexlogics, Inc.","Velogix, Inc. "
"FlexSilicon, Inc","Proceler, Inc. "
Flight America,"Air Virginia, Inc. "
"Flipt, Inc. ","Loopt, Inc. "
Florida Digital Networks,"FDN Communications, Inc. "
Flowergarage,"Seedra, Inc "
"Fluent Machines, Inc.",Novell Multimedia
"Fluid Propulsion Technologies, Inc.",Aerogen Inc.
Flux U.S. Corporation,Clearwire Corporation
"FMW Rubber Products, Inc.","FMW Composite Systems, Inc. "
Focal Systems,"Praxon, Inc. "
"Focalink Communications, Inc.","AdKnowledge, Inc. "
"Focus Interactive, Inc.",Interactive Search Holdings
"FocusVision Networks, Inc.","FocusVision Worldwide, Inc."
Fonelet Technology,"Apptera, Inc. "
Foodfit.com,"FoodFit Company, The  "
FootageNow,"Sekani, Inc. "
ForeFront Group,SmartCertify Direct
Formtek,"Formative Technologies, Inc. (Formtek "
ForMyHome.com,Living.com
ForRetail.com Inc.,Vendivo
"Fort Point Partners, Inc.",Offermatica Corporation
Four M Corporation,"Box USA Holdings, Inc. "
FourGen Software Inc,Endura Software Corporation
Foveon Corporation,Plurimus Corporation
"Foxcom Wireless, Ltd.","MobileAccess Networks, Inc "
"FP Technology, Inc.","FirePond, Inc. "
Free Radical Sciences,"Transcend Therapeutics, Inc. "
French & Associates,Equitant
"Frequency Technology, Inc.","Sequence Design, Inc. "
Freshsounds.com,Riffage.com
"Friendent, Inc.",Pikum!
"Friendship Systems, Inc.",Instaplan Corporation
"From2, Inc.","Arzoon, Inc. "
From2.com,From2.com Global Solutions
Frontier Development,"Video Phone Systems, Inc. "
Frye Adamson Marosits,Unison Marketing & Communications
FS Corporation,Celiant Corporation
FSAC,ParentFinancial Services
Fuelman,Automated Fuel Techonology
Fulcrum,"Sotto Wireless, Inc. "
"Fulcrum Innovations, Inc.",Persistence Software
"FullAudio, Inc.","MusicNow, Inc. "
"Fundamental Applied Biology,Inc.","Sutro Biopharma, Inc. "
Fundu.com,ServiceLane.com
"FunMail, Inc.","FunMobility, Inc."
FurnitureChannel.com Inc.,"FurnitureFan, Inc. "
FutureHealth Corporation,Nationwide Better Health
Futuristics Labs Inc.,TeraLytics
FVC.COM,U.S. Dry Cleaning Corporation
"FXTrades, Inc.","Currenex, Inc. "
"FYI, Inc.","SOURCECORP, Inc. "
"Gabriel Communications, Inc","NuVox Communications, Inc. "
"GalaGen, Inc.","Let's Talk Recovery, Inc. "
Galileo Laboratories,"Galileo Pharmaceuticals, Inc. "
"Games Media Properties, Inc.","Giant Realm, Inc. "
"GAP Stores, Inc.","Gap, Inc., The "
"GardenEscape, Inc.",Garden.com
Gareb.com,"Wizard World, Inc. "
Gauge Technologies,"Accrue Software, Inc. "
Gazelle,Elms Systems Corporation
Gazooba Corporation,Qbiquity Corporation
"GCTH, Inc.","FanSnap, Inc. "
GearGarage.com,"Netliant, Inc. "
"Gel Sciences, Inc.","Gel Med, Inc. "
GEM Soup LLC,Global Electronic Markets LLC
"Gene Logic, Inc.","Ore Pharmaceuticals, Inc. "
GeneCraft Inc.,"Trubion Pharmaceuticals, Inc. "
General Communications,"Teleos Communications, Inc."
General Computer Systems,"Topaz Technologies, Inc. "
General Immunoassay,"Photest Diagnostics, Inc. "
"General Wireless, Inc.","MetroPCS Communications, Inc. "
Generation Developmnt,"Caring Communities, Inc. "
"GenerEst, Inc.","Endeavor Pharmaceutical, Inc. "
Generitech Corporation,Cytyc Corporation
"Genesis Georgia, Inc.","Genesis Cable, Inc. "
Genesis Health Ventures,"Neighbor Care, Inc. "
Genesis Medical Technologies Inc.,"Artemis Medical, Inc."
"Genesis Medical, Inc.","Novasys Medical, Inc. "
"GenoMed Pharmaceuticals, Inc.","Gene/Networks, Inc. "
GenPath Pharmaceuticals,"AVEO Pharmaceuticals, Inc. "
"Gensia Sicor, Inc.","SICOR, Inc. "
Gentara Corporation,"TetraLogic Pharmaceuticals, Inc. "
Genus Aesthetic Medical & Dental Group,Genus.net
Geometric Design,EG&G Geometric
"Geonomics, Inc.","geoVue, Inc. "
Geophysical & Environmental Research,GER Holdings Corp.
"Geriatrix, Inc.","Inspiris, Inc. "
"Geum Networks, Inc.","Mantaro Networks, Inc. "
GFInet,"GFI Group, Inc. "
"GiantLoop Network, Inc.",CentrePath
"Giga Scale IC, Inc.",Chip Estimate Corporation
Gigabit Wireless,IoSpan Wireless
Gilat-to-Home,"Starband Communications, Inc. "
Gilchrist Software,"Dayflo, Inc. "
GirlGeeks.com,GirlGeeks.org
"GITWiT, Inc.",Wildseed Inc.
"GivingCapital, Inc.","Braveheart, Inc. "
GL Micro Devices,"Paradigm Technology, Inc. "
Gladwyne Software Surety,Fortera
"Glides, Inc., Glides.com","Unisite Software, Inc. "
Global Communication Technology,"GCT Semiconductor, Inc."
Global Converging Technologies,Broadband Gateways
Global Dispatch Technology,Global Software Corporation
Global Internet,"Cohesive Technology Solutions, Inc. "
"Global Link Information Network, Inc",Zip2 Corporation
Global Medical Supply,Accordus
"Global Mobility Systems, Inc.","@mobil.com, Inc. "
